date,type
2022-09-01,ร้องเรียน
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ทางเดิน
2022-09-01,ท่อระบายน้ำ
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ป้าย
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,น้ำท่วม
2022-09-01,เสียง
2022-09-01,ชำรุด
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ขยะ
2022-09-01,ถนน
2022-09-01,เสียง
2022-09-01,ชำรุด
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,สะพาน
2022-09-01,ท่อระบายน้ำ
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,จราจร
2022-09-01,ต้นไม้
2022-09-01,ทางเดิน
2022-09-01,ถนน
2022-09-01,ทางเดิน
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ขยะ
2022-09-01,ถนน
2022-09-01,ท่อระบายน้ำ
2022-09-01,ต้นไม้
2022-09-01,จราจร
2022-09-01,ทางเดิน
2022-09-01,เสียง
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ท่อระบายน้ำ
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ทางเดิน
2022-09-01,ร้องเรียน
2022-09-01,น้ำท่วม
2022-09-01,ป้าย
2022-09-01,เสียง
2022-09-01,จราจร
2022-09-01,สะพาน
2022-09-01,จราจร
2022-09-01,ต้นไม้
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,กลิ่น
2022-09-01,ทางเดิน
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ขยะ
2022-09-01,ชำรุด
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ต้นไม้
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ขยะ
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ป้าย
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,น้ำท่วม
2022-09-01,จราจร
2022-09-01,ป้าย
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ชำรุด
2022-09-01,ถนน
2022-09-01,ชำรุด
2022-09-01,จราจร
2022-09-01,ต้นไม้
2022-09-01,ป้าย
2022-09-01,ชำรุด
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,ร้องเรียน
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,ต้นไม้
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,ขยะ
2022-09-01,จราจร
2022-09-01,ขยะ
2022-09-01,ชำรุด
2022-09-01,จราจร
2022-09-01,จราจร
2022-09-01,ถนน
2022-09-01,ถนน
2022-09-01,จราจร
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ต้นไม้
2022-09-02,ชำรุด
2022-09-02,ถนน
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,ขยะ
2022-09-02,กีดขวาง
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,สะพาน
2022-09-02,ขยะ
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,ป้าย
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ทางเดิน
2022-09-02,จราจร
2022-09-02,ถนน
2022-09-02,ท่อระบายน้ำ
2022-09-02,ถนน
2022-09-02,สะพาน
2022-09-02,ถนน
2022-09-02,จราจร
2022-09-02,ขยะ
2022-09-02,ถนน
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ท่อระบายน้ำ
2022-09-02,น้ำท่วม
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ป้าย
2022-09-02,จราจร
2022-09-02,กลิ่น
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ชำรุด
2022-09-02,ต้นไม้
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ป้าย
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,จราจร
2022-09-02,ชำรุด
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ชำรุด
2022-09-02,ทางเดิน
2022-09-02,ชำรุด
2022-09-02,สะพาน
2022-09-02,ทางเดิน
2022-09-02,กีดขวาง
2022-09-02,สะพาน
2022-09-02,จราจร
2022-09-02,ถนน
2022-09-02,สะพาน
2022-09-02,ทางเดิน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,จราจร
2022-09-02,สะพาน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ชำรุด
2022-09-02,น้ำท่วม
2022-09-02,ถนน
2022-09-02,กีดขวาง
2022-09-02,ป้าย
2022-09-02,สะพาน
2022-09-02,ทางเดิน
2022-09-02,ต้นไม้
2022-09-02,ป้าย
2022-09-02,จราจร
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ชำรุด
2022-09-02,ชำรุด
2022-09-02,กลิ่น
2022-09-02,ถนน
2022-09-02,ป้าย
2022-09-02,ทางเดิน
2022-09-02,จราจร
2022-09-02,ต้นไม้
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,จราจร
2022-09-02,ต้นไม้
2022-09-02,ถนน
2022-09-02,ชำรุด
2022-09-02,ชำรุด
2022-09-02,ร้องเรียน
2022-09-02,ถนน
